T550,x,y,lon,lat
1.02,687,2612,-60.56634384708468,-3.3107139916412507
1.0216,687,2613,-60.56367784709141,-3.3113199916397207
0.9924,688,2587,-60.625741846934716,-3.2999299916684777
0.9934,688,2588,-60.62306384694148,-3.3005399916669376
0.9945,688,2589,-60.62038484694824,-3.3011489916654
0.99549997,688,2590,-60.617708846955,-3.3017579916638624
0.99649996,688,2591,-60.615031846961756,-3.302366991662325
0.9975,688,2592,-60.61235284696852,-3.3029769916607847
0.9975,688,2593,-60.61235284696852,-3.3029769916607847
0.99859995,688,2594,-60.60967484697528,-3.303585991659247
0.9996,688,2595,-60.60701784698199,-3.3041909916577197
1.0006,688,2596,-60.60434284698874,-3.3047989916561846
1.0016,688,2597,-60.60167884699547,-3.3054049916546546
1.0026,688,2598,-60.59900484700222,-3.306013991653117
1.0047,688,2600,-60.59361484701583,-3.3072399916500217
1.0063,688,2601,-60.59092884702261,-3.307850991648479
1.0063,688,2602,-60.59092884702261,-3.307850991648479
1.0079,688,2603,-60.58824484702939,-3.3084619916469364
1.0095999,688,2604,-60.58553884703622,-3.309077991645381
1.0112,688,2605,-60.58286784704296,-3.3096849916438487
1.0128,688,2606,-60.580196847049706,-3.3102929916423136
1.0144,688,2607,-60.57756884705634,-3.3108899916408063
1.0160999,688,2608,-60.57491684706304,-3.3114939916392814
1.0177,688,2609,-60.572263847069735,-3.312096991637759
1.0177,688,2610,-60.572263847069735,-3.312096991637759
1.0209,688,2612,-60.56693584708319,-3.313308991634699
0.99789995,689,2591,-60.615622846960264,-3.3049629916557706
0.9999,689,2594,-60.61028884697373,-3.306175991652708
1.0009,689,2595,-60.60761284698049,-3.3067849916511705
1.0019,689,2596,-60.60493684698724,-3.307393991649633
1.0029,689,2597,-60.60227184699397,-3.307999991648103
1.0038999,689,2598,-60.599596847000726,-3.3086089916465653
1.0048,689,2599,-60.59692184700748,-3.3092169916450302
1.0058,689,2600,-60.59420884701433,-3.30983499164347
1.0073999,689,2601,-60.591524847021105,-3.31044499164193
1.0073999,689,2602,-60.591524847021105,-3.31044499164193
1.009,689,2603,-60.58884184702788,-3.311055991640387
1.0106,689,2604,-60.586134847034714,-3.311671991638832
1.0122,689,2605,-60.583464847041455,-3.3122789916372994
1.0138,689,2606,-60.58081684704814,-3.312881991635777
1.0153999,689,2607,-60.578164847054836,-3.3134849916342546
1.0007,690,2596,-60.60553184698574,-3.309988991643081
1.0015,690,2597,-60.60286584699247,-3.310594991641551
1.0037999,690,2600,-60.59480284701283,-3.3124289916369207
1.0056,690,2601,-60.5921218470196,-3.313039991635378
1.0056,690,2602,-60.5921218470196,-3.313039991635378
1.0073999,690,2603,-60.589441847026364,-3.3136489916338405
0.986,691,2571,-60.665111846835316,-3.2991599916704217
0.9862,692,2569,-60.671057846820304,-3.300536991666945
0.98679996,692,2570,-60.66838184682706,-3.3011459916654076
0.9877,693,2569,-60.67163684681884,-3.303134991660386
0.9878,694,2565,-60.680301846796965,-3.3038919916584746
0.988,694,2566,-60.67760784680377,-3.3045059916569244
0.988,694,2567,-60.67760784680377,-3.3045059916569244
0.98859996,694,2568,-60.67491984681055,-3.3051179916553792
